date;year;month;dayofyear;price;promo;TV;SEA;Social;y
2023-01-16;2023;1;16;0.5501959116970515;0.0;0.09757605150819075;0.05437131985347374;0.2019566195022106;13.654410202211341
2023-01-23;2023;1;23;0.6354280618018483;1.0;0.051394095263342834;0.18122032208410338;0.7087937285327234;17.30929664017425
2023-01-30;2023;1;30;0.8625518431274399;0.0;0.02320577109094636;0.25810331456433555;0.13661419480603768;12.86609625330656
2023-02-06;2023;2;37;0.712488145487441;0.0;0.23386317943917448;0.10163145066497517;0.10418575386965563;12.810137749686374
2023-02-13;2023;2;44;0.8121130360218952;1.0;0.2485828500930668;0.22096350865635453;0.291885022238018;15.296062145684038
2023-02-20;2023;2;51;0.7650442641354873;0.0;0.20779625827619985;0.39232305823517993;0.6020856021642144;16.24228269975287
2023-02-27;2023;2;58;0.5985720516666242;0.0;0.04212857201195343;0.0652893527678026;0.10563970423507264;10.145799257516204
2023-03-06;2023;3;65;0.7602223155653398;1.0;0.09077103716067485;0.048293313583981326;0.015852116810802234;12.200886662674387
2023-03-13;2023;3;72;0.6424502610707055;1.0;0.06709061225102436;0.03750671259251205;0.0006053937370348226;10.7837767569148
2023-03-20;2023;3;79;0.6416555098275467;1.0;0.07081843126321927;0.19293941123032732;0.10301364177718347;15.046003090237207
2023-03-27;2023;3;86;0.6992085437966387;0.0;0.03496381676969205;0.27381060476030755;0.0688846592502493;13.567875920856146
2023-04-03;2023;4;93;0.4765586431915814;0.0;0.0410393540473168;0.1932395546866848;0.6033526816760424;16.67149785301213
2023-04-10;2023;4;100;0.8494159940045211;0.0;0.3676220763487556;0.02904661271559477;0.05818606789867256;12.486495342710644
2023-04-17;2023;4;107;0.5938221948023588;0.0;0.003877765614464247;0.3463416109791588;0.02308830099377229;14.03032398486115
2023-04-24;2023;4;114;0.823092392502024;0.0;0.22606846065952582;0.13123653130314197;0.17443572066560642;11.684575641213174
2023-05-01;2023;5;121;0.7045795024868875;0.0;0.08944727308733656;0.09517205318560829;0.327095014330424;10.654630131941117
2023-05-08;2023;5;128;0.8960375542135517;1.0;0.33783784642361225;0.040844408916134056;0.42546429357271287;10.485319464884146
2023-05-15;2023;5;135;0.5953476267298663;0.0;0.08158399052715935;0.09650880003506021;0.6748200637490345;11.558414689403667
2023-05-22;2023;5;142;0.6431087869963469;0.0;0.06463521934447951;0.23503880463779445;0.3874799852835543;10.552609354207299
2023-05-29;2023;5;149;0.7322133147234731;0.0;0.3546095646487126;0.6332149840669095;0.027206339523194404;8.592886461094407
2023-06-05;2023;6;156;0.38306768149157916;0.0;0.032492073695202246;0.22190780056819204;0.13980228948986326;9.595497974768941
2023-06-12;2023;6;163;0.7994504024985382;0.0;0.004311454853973386;0.30716332851064687;0.10635676758738262;7.442833187924673
2023-06-19;2023;6;170;0.897354074600111;0.0;0.08919636551549306;0.31850821991577694;0.31824319142189716;7.660190188716356
2023-06-26;2023;6;177;0.8404502713400447;1.0;0.07002719980143333;0.02508268023856846;0.07021917632200708;13.05746527263098
2023-07-03;2023;7;184;0.7894157384525944;1.0;0.4805886699848683;0.19524242229735767;0.40300528900872057;11.695750260416444
2023-07-10;2023;7;191;0.6658548791364531;0.0;0.12667190685079713;0.03760240014708862;0.8115925958287715;10.236747751169377
2023-07-17;2023;7;198;0.8617256279515235;0.0;0.02402316286783948;0.005497256801964794;0.14727023838882142;6.235183654441981
2023-07-24;2023;7;205;0.8332106522398766;0.0;0.04166774833553678;0.007519457967318337;0.39252430640792746;7.194151022730901
2023-07-31;2023;7;212;0.7397376488256592;0.0;0.049575144673734924;0.08016021074820981;0.052173606016386494;10.890151263500112
2023-08-07;2023;8;219;0.6865810893415415;0.0;0.3512586179335171;0.28572805455528255;0.25055686757211254;7.858372233568787
2023-08-14;2023;8;226;0.6362538304808122;1.0;0.018954466346411958;0.18629515195190688;0.1355597957048603;10.039026651056258
2023-08-21;2023;8;233;0.5171213131237984;0.0;0.08851293552102843;0.100437560234345;0.2759771623146926;10.839866879852531
2023-08-28;2023;8;240;0.8540886427705103;0.0;0.04518570214993079;0.2166116427999453;0.33379485137682247;11.431308155602668
2023-09-04;2023;9;247;0.3879274413199805;1.0;0.02845742064874032;0.3125753057791279;0.14831365364270924;14.622255874634453
2023-09-11;2023;9;254;0.6351042314114193;0.0;0.19884414009667925;0.06128731263345487;0.09075910525997541;9.66814071637659
2023-09-18;2023;9;261;0.7084285137948922;1.0;0.32592442680236594;0.16224898111250327;0.09682290198271969;9.882558532136224
2023-09-25;2023;9;268;0.8038345092001269;0.0;0.022395294818164532;0.24052697031207354;0.024302844636538996;9.75495265235117
2023-10-02;2023;10;275;0.9275370046241297;0.0;0.014571243336110774;0.13840981197282404;0.031042904580237465;9.664309689214985
2023-10-09;2023;10;282;0.822139617535276;1.0;0.15866070878441182;0.4419432040517951;0.500337342750994;11.30986423909582
2023-10-16;2023;10;289;0.6458898131706068;1.0;0.013644848222101833;0.6697794574564109;0.5261717555980951;12.336247388535082
2023-10-23;2023;10;296;0.7857610861159187;0.0;0.18659570236358636;0.021127500324975554;0.039488709511850885;10.693529969415593
2023-10-30;2023;10;303;0.5128183626544573;1.0;0.3920441856590561;0.18155934554506306;0.25017296653617577;15.785888867112876
2023-11-06;2023;11;310;0.8820326414398763;0.0;0.023807971205194657;0.02342843204701154;0.2732147067016597;5.550768787526281
2023-11-13;2023;11;317;0.6644148844328082;0.0;0.12000578619545167;0.09040905672908188;0.007733077010980794;9.38642901099577
